"pl_name,hostname,sys_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,st_spectype,st_rad,st_mass,sy_dist,disc_facility"
"HD 20781 e,HD 20781,HD 2078_,2,5,Radial Velocity,2019,0.3374,3.83,14.03,0.06,K0 V,0.83,0.7,35.9715,La Silla Observatory"
"HD 20782 b,HD 20782,HD 2078_,2,5,Radial Velocity,2006,1.3649,13.6,472.83,0.95,G1.5 V,1.13,1.04,35.9864,Anglo-Australian Telescope"
"Kepler-296 b,Kepler-296,Kepler-296,2,5,Transit,2014,0.079,1.61,3.22,0.33,M2 V,0.48,0.5,167,Kepler"
"Kepler-296 c,Kepler-296,Kepler-296,2,5,Transit,2014,0.0521,2,4.66,0.33,M2 V,0.48,0.5,167,Kepler"
"Kepler-296 d,Kepler-296,Kepler-296,2,5,Transit,2014,0.118,2.09,5.02,0.33,M2 V,0.48,0.5,167,Kepler"
"Kepler-296 e,Kepler-296,Kepler-296,2,5,Transit,2014,0.169,1.53,2.96,0.33,M2 V,0.48,0.5,167,Kepler"
"Kepler-296 f,Kepler-296,Kepler-296,2,5,Transit,2014,0.255,1.8,3.89,0.33,M2 V,0.48,0.5,167,Kepler"
"GJ 676 A b,GJ 676 A,GJ 676 A,2,4,Radial Velocity,2010,1.734535,12.8,1837.01057,0.318615,M0 V,0.69,0.63,16.0272,La Silla Observatory"
"GJ 676 A c,GJ 676 A,GJ 676 A,2,4,Radial Velocity,2016,9.67808,12.3,4271.00959,0.295316,M0,0.65,0.63,16.0272,Paranal Observatory"
"GJ 676 A d,GJ 676 A,GJ 676 A,2,4,Radial Velocity,2012,0.039322,1.77,3.79832,0.192193,M0 V,0.65,0.63,16.0272,La Silla Observatory"
"GJ 676 A e,GJ 676 A,GJ 676 A,2,4,Radial Velocity,2012,0.180707,2.48,6.69167,0.152395,M0 V,0.65,0.63,16.0272,La Silla Observatory"
"K2-32 b,K2-32,K2-32,2,4,Transit,2016,0.0795,5.299,15,0.03,G9 V,0.86,0.83,157.682,K2"
"K2-32 c,K2-32,K2-32,2,4,Transit,2016,0.13843,3.134,8.1,0.049,G9 V,0.86,0.83,157.682,K2"
"K2-32 d,K2-32,K2-32,2,4,Transit,2016,0.18422,3.484,6.7,0.05,G9 V,0.86,0.83,157.682,K2"
"K2-32 e,K2-32,K2-32,2,4,Transit,2019,0.04899,1.212,2.1,0.043,G9 V,0.86,0.83,157.682,K2"
"Kepler-167 b,Kepler-167,Kepler-167,2,4,Transit,2014,0.04825,1.718,3.6,0,K4,0.75,0.78,341.908,Kepler"
"Kepler-167 c,Kepler-167,Kepler-167,2,4,Transit,2014,0.0684,1.674,3.44,0,K4,0.75,0.78,341.908,Kepler"
"Kepler-167 d,Kepler-167,Kepler-167,2,4,Transit,2016,0.1404,1.238,2.06,0,K4,0.75,0.78,341.908,Kepler"
"Kepler-167 e,Kepler-167,Kepler-167,2,4,Transit,2016,1.883,10.16,321.00669,0.29,K4,0.75,0.78,341.908,Kepler"
"Kepler-411 b,Kepler-411,Kepler-411,2,4,Transit,2013,0.0375,2.401,25.6,0.146,K2 V,0.82,0.87,153.676,Kepler"
"Kepler-411 c,Kepler-411,Kepler-411,2,4,Transit,2016,0.0739,4.421,26.4,0.108,K2 V,0.82,0.87,153.676,Kepler"
"Kepler-411 d,Kepler-411,Kepler-411,2,4,Transit,2018,0.279,3.319,15.2,0.128,K2 V,0.82,0.87,153.676,Kepler"
"Kepler-411 e,Kepler-411,Kepler-411,2,4,Transit Timing Variations,2018,0.186,3.28,10.8,0.016,K2 V,0.82,0.87,153.676,Kepler"
"HD 125612 b,HD 125612,HD 125612,2,3,Radial Velocity,2007,1.348279,13.2,944.27564,0.4465,G3 V,1.07,1.05,57.6207,W. M. Keck Observatory"
"HD 125612 c,HD 125612,HD 125612,2,3,Radial Velocity,2009,0.051386,4.01,15.17685,0.148622,G3 V,1.05,1.05,57.6207,La Silla Observatory"
"HD 125612 d,HD 125612,HD 125612,2,3,Radial Velocity,2009,3.979432,12.6,2352.38976,0.114614,G3 V,1.05,1.05,57.6207,La Silla Observatory"
"HD 133131 A b,HD 133131 A,HD 133131 A,2,3,Radial Velocity,2016,1.44,13.6,451.3186,0.33,G2 V,0.96,0.95,51.4736,Las Campanas Observatory"
"HD 133131 A c,HD 133131 A,HD 133131 A,2,3,Radial Velocity,2016,4.49,14.3,133.4886,0.49,G2 V,0.96,0.95,51.4736,Las Campanas Observatory"
"HD 133131 B b,HD 133131 B,HD 133131 B,2,3,Radial Velocity,2016,6.15,13.3,794.575,0.61,G2 V,0.99,0.93,51.2993,Las Campanas Observatory"
"HD 142 A d,HD 142,HD 142,2,3,Radial Velocity,2022,0.474065,10.8,81.62789,0.129711,F7V,1.41,1.21,26.1853,Multiple Observatories"
"HD 142 b,HD 142,HD 142,2,3,Radial Velocity,2001,1.038376,13.7,395.51812,0.157528,G1 IV,1.47,1.21,26.1853,Anglo-Australian Telescope"
"HD 142 c,HD 142,HD 142,2,3,Radial Velocity,2012,9.815941,12.4,3521.33769,0.276797,F7V,1.47,1.21,26.1853,Anglo-Australian Telescope"
"HR 858 b,HR 858,HR 858,2,3,Transit,2019,0.048,2.085,5,0.3,F6 V,1.31,1.15,31.964,Transiting Exoplanet Survey Satellite (TESS)"
"HR 858 c,HR 858,HR 858,2,3,Transit,2019,0.0674,1.939,4.42,0.19,F6 V,1.31,1.15,31.964,Transiting Exoplanet Survey Satellite (TESS)"
"HR 858 d,HR 858,HR 858,2,3,Transit,2019,0.1027,2.164,5.32,0.28,F6 V,1.31,1.15,31.964,Transiting Exoplanet Survey Satellite (TESS)"
"K2-136 c,K2-136,K2-136,2,3,Transit,2017,0.11728,2.91,8.8,0.13,K5.5,0.66,0.74,59.2474,K2"
"Kepler-83 b,Kepler-83,Kepler-83,2,3,Transit,2012,0.07295,2.83,42.1,0,M0 V,0.61,0.66,400.409,Kepler"
"Kepler-83 c,Kepler-83,Kepler-83,2,3,Transit,2012,0.11796,2.36,11.4,0,M0 V,0.61,0.66,400.409,Kepler"
"Kepler-83 d,Kepler-83,Kepler-83,2,3,Transit,2014,0.051,1.94,24.6,0,M0 V,0.59,0.58,400.409,Kepler"
"XO-2 N b,XO-2 N,XO-2,2,3,Transit,2007,0.0368,11.131,179.89178,0.028,K0 V,0.99,0.97,154.273,XO"
"ups And b,ups And,ups And,2,3,Radial Velocity,1996,0.059222,14,218.531,0.0215,F8 V,1.56,1.3,13.4054,Lick Observatory"
"ups And c,ups And,ups And,2,3,Radial Velocity,1999,0.827774,12.3,4443.24113,0.2596,F8 V,1.56,1.3,13.4054,Multiple Observatories"
"ups And d,ups And,ups And,2,3,Radial Velocity,1999,2.51329,12.5,3257.74117,0.2987,F8 V,1.56,1.3,13.4054,Multiple Observatories"
"GJ 15 A b,GJ 15 A,GJ 15 A,2,2,Radial Velocity,2014,0.072,1.55,3.03,0.094,M1,0.38,0.38,3.56228,W. M. Keck Observatory"
"GJ 15 A c,GJ 15 A,GJ 15 A,2,2,Radial Velocity,2018,5.4,6.67,36,0.27,M1,0.38,0.38,3.56228,Roque de los Muchachos Observatory"
"GJ 229 A c,GJ 229,GJ 229,2,2,Radial Velocity,2020,0.384214,2.87,8.57613,0.365639,M1.5V,0.46,0.51,5.75624,Multiple Facilities"
"GJ 229 b,GJ 229,GJ 229,2,2,Radial Velocity,2014,1.086215,3.96,14.85045,0.403522,M1/M2 V,0.46,0.51,5.75624,Multiple Observatories"
"GJ 3473 b,GJ 3473,GJ 3473,2,2,Transit,2020,0.01589,1.264,1.86,0,M4,0.36,0.36,27.3644,Transiting Exoplanet Survey Satellite (TESS)"
"GJ 3473 c,GJ 3473,GJ 3473,2,2,Radial Velocity,2020,0.0876,2.63,7.41,0,M4,0.36,0.36,27.3644,Multiple Observatories"
"GJ 414 A b,GJ 414 A,GJ 414 A,2,2,Radial Velocity,2021,0.2324,2.63,7.6,0.45,K7 V,0.68,0.65,11.8893,W. M. Keck Observatory"
"GJ 414 A c,GJ 414 A,GJ 414 A,2,2,Radial Velocity,2021,1.4,8.4,53.83,0.105,K7 V,0.68,0.65,11.8893,W. M. Keck Observatory"
"HD 107148 b,HD 107148,HD 107148,2,2,Radial Velocity,2005,0.269,9.6,66.741,0.05,G5 V,1.17,1.12,49.4156,W. M. Keck Observatory"
"HD 107148 c,HD 107148,HD 107148,2,2,Radial Velocity,2021,0.1407,4.7,19.89606,0.34,G5 V,1.17,1.11,49.4156,Multiple Observatories"
"HD 11343 c,HIP 8541,HIP 8541,2,2,Radial Velocity,2022,0.922152,13.9,253.39075,0.168579,K2 III/IV,6.78,2.01,155.121,Multiple Observatories"
"HD 116029 b,HD 116029,HD 116029,2,2,Radial Velocity,2011,1.65,13.6,444.962,0,K0,4.89,0.83,123.245,W. M. Keck Observatory"
"HD 11964 b,HD 11964,HD 11964,2,2,Radial Velocity,2005,3.16,14.1,198,0.041,G9 V CN+1,2.01,0.91,33.5369,W. M. Keck Observatory"
"HD 11964 c,HD 11964,HD 11964,2,2,Radial Velocity,2008,0.229,5.38,25,0.3,G9 V CN+1,2.01,0.91,33.5369,W. M. Keck Observatory"
"HD 147873 b,HD 147873,HD 147873,2,2,Radial Velocity,2016,0.522,12.8,1633.6462,0.207,G1 V,2.29,1.38,109.055,Multiple Observatories"
"HD 147873 c,HD 147873,HD 147873,2,2,Radial Velocity,2016,1.36,13.3,731.009,0.23,G1 V,2.29,1.38,109.055,Multiple Observatories"
"HD 177830 b,HD 177830,HD 177830,2,2,Radial Velocity,1999,1.14,13.5,537.1327,0.1,K0,3.26,1.7,62.7674,W. M. Keck Observatory"
"HD 177830 c,HD 177830,HD 177830,2,2,Radial Velocity,2010,0.5137,7.87,47.6725,0.3,K0,2.62,1.47,62.7674,W. M. Keck Observatory"
"HD 190360 b,HD 190360,HD 190360,2,2,Radial Velocity,2003,3.9,13.4,572.09113,0.34,G V,1.14,1,16.0069,Haute-Provence Observatory"
"HD 190360 c,HD 190360,HD 190360,2,2,Radial Velocity,2005,0.1304,4.59,19.069,0.237,G6 IV,1.17,0.98,16.0069,W. M. Keck Observatory"
"HD 217786 b,HD 217786,HD 217786,2,2,Radial Velocity,2011,2.44502,12.3,4402.88762,0.310811,F8 V,1.27,1.14,55.4847,La Silla Observatory"
"HD 217786 c,HD 217786,HD 217786,2,2,Radial Velocity,2022,0.037863,2.62,7.35886,-0.518659,F8 V,1.34,1.14,55.4847,Multiple Observatories"
"HD 38529 b,HD 38529,HD 38529,2,2,Radial Velocity,2000,0.114551,14.1,206.34463,0.256497,G4 IV,2.86,0.98,42.3538,Multiple Observatories"
"HD 38529 c,HD 38529,HD 38529,2,2,Radial Velocity,2000,3.224617,12.4,3320.46746,0.357148,G4 IV,2.86,0.98,42.3538,Multiple Observatories"
"HD 4732 b,HD 4732,HD 4732,2,2,Radial Velocity,2012,1.19,13.3,753.23,0.13,K0 IV,5.4,1.74,54.7841,Multiple Observatories"
"HD 4732 c,HD 4732,HD 4732,2,2,Radial Velocity,2012,4.6,13.3,753.23,0.23,K0 IV,5.4,1.74,54.7841,Multiple Observatories"
"HIP 8541 b,HIP 8541,HIP 8541,2,2,Radial Velocity,2016,3.736626,12.6,2621.63107,0.360464,K2 III/IV,7.83,2.01,155.121,Multiple Observatories"
"LHS 1678 b,LHS 1678,LHS 1678,2,2,Transit,2021,0.01251,0.696,0.35,0.25,M2.0 V,0.33,0.35,19.8782,Transiting Exoplanet Survey Satellite (TESS)"
"LHS 1678 c,LHS 1678,LHS 1678,2,2,Transit,2021,0.0331,0.982,1.4,0.22,M2.0 V,0.33,0.35,19.8782,Transiting Exoplanet Survey Satellite (TESS)"
"LTT 3780 b,LTT 3780,LTT 3780,2,2,Transit,2020,0.01211,1.332,2.62,0,M4 V,0.37,0.4,21.9814,Transiting Exoplanet Survey Satellite (TESS)"
"LTT 3780 c,LTT 3780,LTT 3780,2,2,Transit,2020,0.07673,2.3,8.6,0.06,M4 V,0.37,0.4,21.9814,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-421 b,TOI-421,TOI-421,2,2,Transit,2020,0.056,2.68,7.17,0.163,G9 V,0.87,0.85,74.7969,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-421 c,TOI-421,TOI-421,2,2,Transit,2020,0.1189,5.09,16.42,0.152,G9 V,0.87,0.85,74.7969,Transiting Exoplanet Survey Satellite (TESS)"
"WASP-18 b,WASP-18,WASP-18,2,2,Transit,2009,0.02024,13.899,3241.84975,0.0051,F6 IV-V,1.32,1.29,123.483,SuperWASP"
"WASP-18 c,WASP-18,WASP-18,2,2,Transit Timing Variations,2019,0.035,8.58,55.2,0.015,F6 IV-V,1.23,1.22,123.483,Transiting Exoplanet Survey Satellite (TESS)"
"WASP-8 b,WASP-8,WASP-8,2,2,Transit,2010,0.0801,12.666,807.2882,0.31,G8 V,1.03,1.34,89.9606,SuperWASP"
"WASP-8 c,WASP-8,WASP-8,2,2,Radial Velocity,2013,5.28,12.5,3003.37,0,G8 V,0.99,1.04,89.9606,SuperWASP"
"WASP-94 A b,WASP-94 A,WASP-94 A,2,2,Transit,2014,0.055,17.71,158.915,0,F8,1.48,1.67,211.211,SuperWASP"
"WASP-94 B b,WASP-94 B,WASP-94 B,2,2,Radial Velocity,2014,0.0335,14.1,196.411,0,F9,1.35,1.24,208.696,SuperWASP"
"11 Com b,11 Com,11 Com,2,1,Radial Velocity,2007,1.29,12.1,6165.6,0.231,G8 III,19,2.7,93.1846,Xinglong Station"
"18 Del b,18 Del,18 Del,2,1,Radial Velocity,2008,2.6,12.5,3273.5,0.08,G6 III,8.5,2.3,76.222,Okayama Astrophysical Observatory"
"42 Dra b,42 Dra,42 Dra,2,1,Radial Velocity,2008,1.19,13,1233.13,0.38,K1.5 III,22.03,0.98,90.6545,Thueringer Landessternwarte Tautenburg"
"75 Cet b,75 Cet,75 Cet,2,1,Radial Velocity,2012,2.1,13.1,953.49,0.117,G3 III,10.5,2.49,82.9613,Okayama Astrophysical Observatory"
"CoRoT-9 b,CoRoT-9,CoRoT-9,2,1,Transit,2009,0.4021,11.949,266.9772,0.133,G3 V,0.96,0.96,412.98,CoRoT"
"DMPP-3 A b,DMPP-3 A,DMPP-3 A,2,1,Radial Velocity,2019,0.0662,1.41,2.58,0.14,K0 V,0.91,0.87,45.23,La Silla Observatory"
"GJ 3021 b,GJ 3021,GJ 3021,2,1,Radial Velocity,2000,0.49,13.1,1071.04,0.511,G6 V,0.9,0.9,17.5559,La Silla Observatory"
"GJ 338 B b,GJ 338 B,GJ 338 B,2,1,Radial Velocity,2020,0.142,3.25,10.6,0.109,M0 V,0.58,0.64,6.33256,Calar Alto Observatory"
"GJ 720 A b,GJ 720 A,GJ 720 A,2,1,Radial Velocity,2021,0.119,3.77,13.64,0.12,M0.5 V,0.56,0.57,15.5575,Roque de los Muchachos Observatory"
"GJ 86 b,GJ 86,GJ 86,2,1,Radial Velocity,1999,0.11,12.9,1404.8086,0.04,K1V,0.77,0.93,10.7836,La Silla Observatory"
"GJ 896 A b,GJ 896 A,GJ 896 A,2,1,Astrometry,2022,0.63965,13.3,718.2922,0.35,M3.5 V,0.39,0.44,6.26022,Very Long Baseline Array"
"Gl 49 b,Gl 49,Gl 49,2,1,Radial Velocity,2019,0.0905,2.24,5.63,0.363,M1.5 V,0.51,0.52,9.8528,Multiple Observatories"
"HAT-P-1 b,HAT-P-1,HAT-P-1,2,1,Transit,2006,0.05561,14.785,166.86075,0,G0 V,1.17,1.15,158.979,HATNet"
"HAT-P-14 b,HAT-P-14,HAT-P-14,2,1,Transit,2010,0.0596,15.917,1093.3352,0.11,F5 V,1.82,2.65,222.663,HATNet"
"HAT-P-22 b,HAT-P-22,HAT-P-22,2,1,Transit,2010,0.0414,12.89,785.0401,0.02,G5 V,1.11,1.13,81.7647,HATNet"
"HAT-P-24 b,HAT-P-24,HAT-P-24,2,1,Transit,2010,0.04651,14.572,238.3725,0.07,F8,1.38,1.37,415.344,HATNet"
"HAT-P-27 b,HAT-P-27,HAT-P-27,2,1,Transit,2011,0.04,11.43,197.05,0,G8,0.86,0.92,199.173,HATNet"
"HAT-P-29 b,HAT-P-29,HAT-P-29,2,1,Transit,2011,0.0667,13.115,279.6904,0.09,F8,1.3,1.45,313.576,HATNet"
"HAT-P-3 b,HAT-P-3,HAT-P-3,2,1,Transit,2007,0.03866,10.536,206.5895,0,K,0.87,1.06,134.554,HATNet"
"HAT-P-30 b,HAT-P-30,HAT-P-30,2,1,Transit,2011,0.0419,16.141,263.7989,0.04,F7,1.31,1.55,213.985,HATNet"
"HAT-P-33 b,HAT-P-33,HAT-P-33,2,1,Transit,2011,0.04995,20.737,292.4036,0,F4,1.79,1.82,396.11,HATNet"
"HAT-P-4 b,HAT-P-4,HAT-P-4,2,1,Transit,2007,0.04438,14.28,213.255,0,F,1.62,0.56,320.451,HATNet"
"HATS-30 b,HATS-30,HATS-30,2,1,Transit,2016,0.04354,13.171,224.38798,0.096,G,1.06,1.09,342.14,HATSouth"
"HD 100655 b,HD 100655,HD 100655,2,1,Radial Velocity,2011,0.68,13.5,511.7063,0.09,G9 III,10.06,2.28,137.178,Bohyunsan Optical Astronomical Observatory"
"HD 101930 b,HD 101930,HD 101930,2,1,Radial Velocity,2005,0.3,10.6,79.4575,0.11,K1 V,0.86,0.57,30.0274,La Silla Observatory"
"HD 102365 b,HD 102365,HD 102365,2,1,Radial Velocity,2010,0.46,4.14,16,0.34,G3/5V,0.95,0.85,9.2894,Anglo-Australian Telescope"
"HD 102956 b,HD 102956,HD 102956,2,1,Radial Velocity,2010,0.0807,13.8,305.1168,0.037,G5,4.55,1.66,121.89,W. M. Keck Observatory"
"HD 103774 b,HD 103774,HD 103774,2,1,Radial Velocity,2013,0.07,13.3,116,0.09,F5 V,1.58,1.33,56.4089,La Silla Observatory"
"HD 106515 A b,HD 106515 A,HD 106515 A,2,1,Radial Velocity,2012,4.496414,12.4,3518.96545,0.564614,G5 V,0.91,0.93,34.0915,La Silla Observatory"
"HD 108341 b,HD 108341,HD 108341,2,1,Radial Velocity,2014,2,13.1,1112.4,0.85,K2 V,0.79,0.84,48.9102,La Silla Observatory"
"HD 109749 b,HD 109749,HD 109749,2,1,Radial Velocity,2005,0.0615,11.1,85.8141,0,G3 V,1.22,1.13,63.0821,W. M. Keck Observatory"
"HD 110082 b,HD 110082,HD 110082,2,1,Transit,2021,0.113,3.2,10.3,0.2,F8 V,1.19,1.21,105.096,Transiting Exoplanet Survey Satellite (TESS)"
"HD 113996 b,HD 113996,HD 113996,2,1,Radial Velocity,2017,1.6,12.7,2002.329,0.28,K5 III,25.11,1.49,116.334,Bohyunsan Optical Astronomical Observatory"
"HD 114729 b,HD 114729,HD 114729,2,1,Radial Velocity,2002,2.067,13.9,262.20975,0.079,G0 V,1.47,0.94,37.8063,W. M. Keck Observatory"
"HD 142022 A b,HD 142022 A,HD 142022 A,2,1,Radial Velocity,2005,2.93,12.9,1411.1652,0.53,K0,1.04,0.9,34.2802,La Silla Observatory"
"HD 147379 b,HD 147379,HD 147379,2,1,Radial Velocity,2017,0.323,5.82,28.55,0.07,M1,0.63,0.6,10.7643,Calar Alto Observatory"
"HD 147513 b,HD 147513,HD 147513,2,1,Radial Velocity,2003,1.32,13.7,385,0.26,G3/5V,0.98,1.11,12.9032,La Silla Observatory"
"HD 155233 b,HD 155233,HD 155233,2,1,Radial Velocity,2015,2,13.2,826.358,0.04,K1 III,5.03,1.69,74.2309,Anglo-Australian Telescope"
"HD 156846 b,HD 156846,HD 156846,2,1,Radial Velocity,2007,1.12,12.4,3391.2461,0.85,G0 V,1.9,1.38,47.7332,La Silla Observatory"
"HD 16141 b,HD 16141,HD 16141,2,1,Radial Velocity,2000,0.36,10.9,82.6358,0.25,G5 IV,1.48,1.11,37.7861,W. M. Keck Observatory"
"HD 16417 b,HD 16417,HD 16417,2,1,Radial Velocity,2008,0.14,5,22.1,0.2,G1 V,1.64,1.2,25.3936,Anglo-Australian Telescope"
